Life Regen,ライフ再生
Projectiles Fired by Minions Cannot Pierce Enemies,ミニオンが発射した投射物は敵を貫通できません
Minion's Projectiles that have Pierced deal {0} increased Damage,貫通したミニオンの投射物は {0} 増加したダメージを与えます
Minion's Projectiles that have Pierced deal {0} reduced Damage,貫通したミニオンの投射物は {0} 減少したダメージを与えます
Minions deal {0} increased Projectile Damage to nearby Enemies,ミニオンは近くの敵に {0} 増加した投射物ダメージを与えます
Minions deal {0} reduced Projectile Damage to nearby Enemies,ミニオンは近くの敵に {0} 減少した投射物ダメージを与えます
Projectiles Fired by Minions Pierce all Targets within {0} units,ミニオンが発射した投射物は {0} ユニット以内のすべての対象を貫通します
Minions Recover {0} of Life when you Stun an Enemy,ミニオンは敵をスタンさせたときに {0} のライフを回復します
Minions Penetrate {0} Chaos Resistance,ミニオンは {0} の混沌耐性を貫通します
Minions have {0} increased Duration of Skills and Duration of Damaging Ailments,ミニオンはスキルとダメージを与える状態異常の持続時間が {0} 増加します
Minions have {0} reduced Duration of Skills and Damaging Ailments,ミニオンはスキルとダメージを与える状態異常の持続時間が {0} 減少します
{0} of Minion Physical Damage Converted to Chaos Damage,ミニオンの物理ダメージの {0} が混沌ダメージに変換されます
{0} of Minion Physical Damage Converted to Cold Damage,ミニオンの物理ダメージの {0} が冷気ダメージに変換されます
{0} of Minion Physical Damage Converted to Fire Damage,ミニオンの物理ダメージの {0} が火炎ダメージに変換されます
Skitterbots grant {0} more Trap and Mine Damage,スキッターボットはトラップと地雷のダメージを {0} 増加させます
Skitterbots grant {0} less Trap and Mine Damage,スキッターボットはトラップと地雷のダメージを {0} 減少させます
Enemies in Chilling Areas from Minion's Skills take {0} increased Cold Damage over Time,ミニオンのスキルによる冷却エリア内の敵は {0} 増加した継続冷気ダメージを受けます
Enemies in Chilling Areas from Minion's Skills take {0} reduced Cold Damage over Time,ミニオンのスキルによる冷却エリア内の敵は {0} 減少した継続冷気ダメージを受けます
Enemies Chilled by Minions take {0} increased Cold Damage over Time,ミニオンによって冷却された敵は {0} 増加した継続冷気ダメージを受けます
Enemies Chilled by Minions take {0} reduced Cold Damage over Time,ミニオンによって冷却された敵は {0} 減少した継続冷気ダメージを受けます
Minions deal {0} more Damage while on Full Energy Shield,ミニオンはエナジーシールドが満タンのときに {0} 増加したダメージを与えます
Minions deal {0} less Damage while on Full Energy Shield,ミニオンはエナジーシールドが満タンのときに {0} 減少したダメージを与えます
Minions deal {0} more Damage while Leeching Energy Shield,ミニオンはエナジーシールドを吸収している間に {0} 増加したダメージを与えます
Minions deal {0} less Damage while Leeching Energy Shield,ミニオンはエナジーシールドを吸収している間に {0} 減少したダメージを与えます
Minions deal {0} more Damage with Ailments caused by Melee Hits,ミニオンは近接ヒットによって引き起こされた状態異常に対して {0} 増加したダメージを与えます
Minions deal {0} less Damage with Ailments caused by Melee Hits,ミニオンは近接ヒットによって引き起こされた状態異常に対して {0} 減少したダメージを与えます
Minions deal {0} more Melee Damage,ミニオンは {0} 増加した近接ダメージを与えます
Minions deal {0} less Melee Damage,ミニオンは {0} 減少した近接ダメージを与えます
Minions deal {0} more Cold Damage Over Time,ミニオンは {0} 増加した継続冷気ダメージを与えます
Minions deal {0} less Cold Damage Over Time,ミニオンは {0} 減少した継続冷気ダメージを与えます
Enemies Maimed by Minions take {0} increased Physical Damage,ミニオンによって重傷を負った敵は {0} 増加した物理ダメージを受けます
Enemies Maimed by Minions take {0} reduced Physical Damage,ミニオンによって重傷を負った敵は {0} 減少した物理ダメージを受けます
Minions have {0} increased Critical Strike Chance against the Prey,ミニオンは獲物に対して {0} 増加したクリティカル率を持ちます
Minions have {0} reduced Critical Strike Chance against the Prey,ミニオンは獲物に対して {0} 減少したクリティカル率を持ちます
Minions have {0} to Critical Strike Multiplier against the Prey,ミニオンは獲物に対して {0} のクリティカル率倍率を持ちます
Minions deal {0} more Damage to the Prey,ミニオンは獲物に {0} 増加したダメージを与えます
Minions deal {0} less Damage to the Prey,ミニオンは獲物に {0} 減少したダメージを与えます
Minions always target the Prey if possible,ミニオンは可能な限り獲物を常に狙います
Minions deal {0} more Damage per Power Charge,ミニオンはパワーチャージごとに {0} 増加したダメージを与えます
Minions deal {0} less Damage per Power Charge,ミニオンはパワーチャージごとに {0} 減少したダメージを与えます
Minions deal {0} more Melee Area Damage,ミニオンは {0} 増加した近接範囲ダメージを与えます
Minions deal {0} less Melee Area Damage,ミニオンは {0} 減少した近接範囲ダメージを与えます
Enemies have {0} chance to Block Attack or Spell Damage from Minions,敵はミニオンからの攻撃または呪文ダメージをブロックする {0} の確率を持ちます
Enemies have {0} chance to Dodge Attack or Spell Hits from Minions,敵はミニオンからの攻撃または呪文ヒットを回避する {0} の確率を持ちます
Minions have {0} chance to gain Onslaught for {1} seconds when you Hit a Unique Enemy,ミニオンはユニークな敵をヒットしたときに {0} の確率で {1} 秒間猛攻を獲得します
Minions have {0} chance to gain Onslaught for {1} seconds on dealing a Killing Blow,ミニオンはキリングブローを与えたときに {0} の確率で {1} 秒間猛攻を獲得します
"Minions deal up to {0} more Melee Damage to Enemies, based on proximity",ミニオンは近接に基づいて敵に最大 {0} 増加した近接ダメージを与えます
Minion's have {0} increased delay between affected Areas,ミニオンは影響を受けたエリア間の遅延が {0} 増加します
Minion's have {0} reduced delay between affected Areas,ミニオンは影響を受けたエリア間の遅延が {0} 減少します
Minion's Final Repeat deals {0} more Damage,ミニオンの最終リピートは {0} 増加したダメージを与えます
Minion's Final Repeat deals {0} less Damage,ミニオンの最終リピートは {0} 減少したダメージを与えます
Minions' Skills have {0} to Critical Strike Multiplier per Power Charge when used by Traps,ミニオンのスキルはトラップによって使用されるとき、パワーチャージごとに {0} のクリティカル率倍率を持ちます
This Skill and Minions have {0} increased Trap Throwing Speed per Frenzy Charge,このスキルとミニオンはフレンジーチャージごとに {0} 増加したトラップ投擲速度を持ちます
This Skill and Minions have {0} reduced Trap Throwing Speed per Frenzy Charge,このスキルとミニオンはフレンジーチャージごとに {0} 減少したトラップ投擲速度を持ちます
Minions have {0} chance to inflict Withered on Hit,ミニオンはヒット時に{0}%の確率で衰弱を付与する
Agony Crawler has {0} chance to inflict Withered for {1} seconds on Hit,アゴニークローラーはヒット時に {1} 秒間ウィザードを与える {0} チャンスを持つ
This Attack and Minions have {0} increased Attack Speed,この攻撃とミニオンは {0} 増加した攻撃速度を持つ
This Attack and Minions have {0} reduced Attack Speed,この攻撃とミニオンは {0} 減少した攻撃速度を持つ
This Attack and Minions have {0} increased Accuracy Rating,この攻撃とミニオンは {0} 増加した命中精度を持つ
This Attack and Minions have {0} reduced Accuracy Rating,この攻撃とミニオンは {0} 減少した命中精度を持つ
This Attack and Minions have {0} increased Critical Strike Chance,この攻撃とミニオンは {0} 増加したクリティカルヒット率を持つ
This Attack and Minions have {0} reduced Critical Strike Chance,この攻撃とミニオンは {0} 減少したクリティカルヒット率を持つ
This Attack and Minions have {0} to Critical Strike Multiplier,この攻撃とミニオンはクリティカルヒット倍率に {0} を持つ
Enemy Block Chance reduced by {0} against this Skill and Minions,このスキルとミニオンに対する敵のブロック率は {0} 減少する
This Attack and Minions Leech {0} of Damage as Life,この攻撃とミニオンはダメージの {0} をライフとして吸収する
This Attack and Minions Leech {0} of Damage as Energy Shield,この攻撃とミニオンはダメージの {0} をエナジーシールドとして吸収する
This Attack and Minions have an additional {0} chance to Knock Enemies Back on Hit,この攻撃とミニオンはヒット時に敵をノックバックさせる {0} 追加のチャンスを持つ
This Attack and Minions have {0} increased Knockback Distance,この攻撃とミニオンは {0} 増加したノックバック距離を持つ
This Attack and Minions have {0} reduced Knockback Distance,この攻撃とミニオンは {0} 減少したノックバック距離を持つ
This Attack and Minions have {0} reduced Enemy Stun Threshold,この攻撃とミニオンは {0} 減少した敵のスタン閾値を持つ
This Attack and Minions have {0} increased Enemy Stun Threshold,この攻撃とミニオンは {0} 増加した敵のスタン閾値を持つ
{0} increased Rarity of Items Dropped by enemies Slain by Minions or This Attack,ミニオンまたはこの攻撃によって倒された敵がドロップするアイテムのレアリティが {0} 増加する
{0} reduced Rarity of Items Dropped by enemies Slain by Minions or This Attack,ミニオンまたはこの攻撃によって倒された敵がドロップするアイテムのレアリティが {0} 減少する
{0} increased Quantity of Items Dropped by enemies Slain by Minions or This Attack,ミニオンまたはこの攻撃によって倒された敵がドロップするアイテムの数量が {0} 増加する
{0} reduced Quantity of Items Dropped by enemies Slain by Minions or This Attack,ミニオンまたはこの攻撃によって倒された敵がドロップするアイテムの数量が {0} 減少する
This Attack and Minions have {0} chance to Freeze enemies,この攻撃とミニオンは敵を凍結させる {0} チャンスを持つ
This Attack and Minions have {0} chance to Shock enemies,この攻撃とミニオンは敵をショックさせる {0} チャンスを持つ
This Attack and Minions have {0} chance to Ignite enemies,この攻撃とミニオンは敵を点火させる {0} チャンスを持つ
This Attack and Minions have {0} chance to cause Monsters to Flee when Hit,この攻撃とミニオンはヒット時にモンスターを逃げさせる {0} チャンスを持つ
This Attack and Minions have {0} increased Stun Duration on enemies,この攻撃とミニオンは敵に対するスタン持続時間が {0} 増加する
This Attack and Minions have {0} reduced Stun Duration on enemies,この攻撃とミニオンは敵に対するスタン持続時間が {0} 減少する
This Attack and Minions have {0} increased Ignite Duration on Enemies,この攻撃とミニオンは敵に対する点火持続時間が {0} 増加する
This Attack and Minions have {0} reduced Ignite Duration on Enemies,この攻撃とミニオンは敵に対する点火持続時間が {0} 減少する
This Attack and Minions have {0} increased Chill Effect on enemies,この攻撃とミニオンは敵に対する冷却効果が {0} 増加する
This Attack and Minions have {0} reduced Chill Effect on enemies,この攻撃とミニオンは敵に対する冷却効果が {0} 減少する
This Attack and Minions have {0} increased Chill Duration on enemies,この攻撃とミニオンは敵に対する冷却持続時間が {0} 増加する
This Attack and Minions have {0} reduced Chill Duration on enemies,この攻撃とミニオンは敵に対する冷却持続時間が {0} 減少する
This Attack and Minions have {0} increased Freeze Duration on enemies,この攻撃とミニオンは敵に対する凍結持続時間が {0} 増加する
This Attack and Minions have {0} reduced Freeze Duration on enemies,この攻撃とミニオンは敵に対する凍結持続時間が {0} 減少する
This Attack and Minions have {0} increased Shock Duration on enemies,この攻撃とミニオンは敵に対するショック持続時間が {0} 増加する
This Attack and Minions have {0} reduced Shock Duration on enemies,この攻撃とミニオンは敵に対するショック持続時間が {0} 減少する
This Attack and Minions Penetrate {0} Fire Resistance,この攻撃とミニオンは {0} 火耐性を貫通する
This Attack and Minions Penetrate {0} Cold Resistance,この攻撃とミニオンは {0} 冷気耐性を貫通する
This Attack and Minions Penetrate {0} Elemental Resistances,この攻撃とミニオンは {0} エレメンタル耐性を貫通する
This Attack and Minions Penetrate {0} Lightning Resistance,この攻撃とミニオンは {0} 雷耐性を貫通する
This Attack and Minions have {0} chance to Blind enemies on hit,この攻撃とミニオンはヒット時に敵をブラインドさせる {0} チャンスを持つ
This Attack and Minions have {0} increased Blinding duration,この攻撃とミニオンは {0} 増加したブラインド持続時間を持つ
This Attack and Minions have {0} reduced Blinding duration,この攻撃とミニオンは {0} 減少したブラインド持続時間を持つ
This Attack and Minions have {0} chance to gain a Power Charge on Critical Strike,この攻撃とミニオンはクリティカルヒット時にパワーチャージを得る {0} チャンスを持つ
This Attack and Minions have {0} more Melee Attack Speed,この攻撃とミニオンは {0} 増加した近接攻撃速度を持つ
This Attack and Minions have {0} less Melee Attack Speed,この攻撃とミニオンは {0} 減少した近接攻撃速度を持つ
This Attack and Minions have {0} increased Area of Effect,この攻撃とミニオンは {0} 増加した範囲効果を持つ
This Attack and Minions have {0} reduced Area of Effect,この攻撃とミニオンは {0} 減少した範囲効果を持つ
This Attack and Minions have {0} more Area of Effect,この攻撃とミニオンは {0} 増加した範囲効果を持つ
This Attack and Minions have {0} less Area of Effect,この攻撃とミニオンは {0} 減少した範囲効果を持つ
This Attack and Minions have {0} increased Burning Damage,この攻撃とミニオンは {0} 増加した燃焼ダメージを持つ
This Attack and Minions have {0} reduced Burning Damage,この攻撃とミニオンは {0} 減少した燃焼ダメージを持つ
This Attack and Minions have {0} chance to gain Endurance Charges when Stunning Enemies with Melee Damage,この攻撃とミニオンは近接ダメージで敵をスタンさせるときにエンデュランスチャージを得る {0} チャンスを持つ
This Attack and Minions have {0} increased Attack Speed when on Low Life,この攻撃とミニオンは低ライフ時に攻撃速度が {0} 増加する
This Attack and Minions have {0} reduced Attack Speed when on Low Life,この攻撃とミニオンは低ライフ時に攻撃速度が {0} 減少する
This Attack and Minions have {0} more Attack Speed,この攻撃とミニオンは {0} 増加した攻撃速度を持つ
This Attack and Minions have {0} less Attack Speed,この攻撃とミニオンは {0} 減少した攻撃速度を持つ
This Attack and Minions deal {0} more Melee Physical Damage against Bleeding Enemies,この攻撃とミニオンは出血している敵に対して {0} 増加した近接物理ダメージを与える
This Attack and Minions deal {0} less Melee Physical Damage against Bleeding Enemies,この攻撃とミニオンは出血している敵に対して {0} 減少した近接物理ダメージを与える
This Attack and Minions deal {0} increased Melee Damage against Bleeding Enemies,この攻撃とミニオンは出血している敵に対して {0} 増加した近接ダメージを与える
This Attack and Minions deal {0} reduced Melee Damage against Bleeding Enemies,この攻撃とミニオンは、出血している敵に対して {0} の近接ダメージを減少させる
This Attack and Minions have {0} chance to Fortify on Melee hit,この攻撃とミニオンは、近接ヒット時に {0} の確率で強化を付与する
This Attack and Minions have {0} chance to Freeze Enemies which are Chilled,この攻撃とミニオンは、凍結状態の敵に対して {0} の確率で凍結させる
This Attack and Minions deal {0} more Damage with Hits and Ailments against Chilled Enemies,この攻撃とミニオンは、凍結状態の敵に対してヒットと状態異常で {0} のダメージを追加で与える
This Attack and Minions deal {0} less Damage with Hits and Ailments against Chilled Enemies,この攻撃とミニオンは、凍結状態の敵に対してヒットと状態異常で {0} のダメージを減少させる
This Skill and Minions deal {0} more Damage,このスキルとミニオンは {0} のダメージを追加で与える
This Skill and Minions deal {0} less Damage,このスキルとミニオンは {0} のダメージを減少させる
This Attack and Minions deal {0} more Trap and Mine Damage,この攻撃とミニオンは、トラップと地雷ダメージを {0} 増加させる
This Attack and Minions deal {0} less Trap and Mine Damage,この攻撃とミニオンは、トラップと地雷ダメージを {0} 減少させる
This Attack and Minions deal {0} more Damage with Ailments,この攻撃とミニオンは、状態異常で {0} のダメージを追加で与える
This Attack and Minions deal {0} less Damage with Ailments,この攻撃とミニオンは、状態異常で {0} のダメージを減少させる
This Attack and Minions deal {0} more Damage with Hits,この攻撃とミニオンは、ヒットで {0} のダメージを追加で与える
This Attack and Minions deal {0} less Damage with Hits,この攻撃とミニオンは、ヒットで {0} のダメージを減少させる
This Attack and Minions deal {0} more Fire Damage,この攻撃とミニオンは、火炎ダメージを {0} 増加させる
This Attack and Minions deal {0} less Fire Damage,この攻撃とミニオンは、火炎ダメージを {0} 減少させる
This Attack and Minions deal {0} more Damage with Ignite,この攻撃とミニオンは、点火によるダメージを {0} 増加させる
This Attack and Minions deal {0} less Damage with Ignite,この攻撃とミニオンは、点火によるダメージを {0} 減少させる
This Attack and Minions deal {0} more Damage over Time,この攻撃とミニオンは、継続ダメージで {0} のダメージを追加で与える
This Attack and Minions deal {0} less Damage over Time,この攻撃とミニオンは、継続ダメージで {0} のダメージを減少させる
"This Attack and Minions deal {0} more Damage with Hits for each Poison on the Enemy, up to {1}",この攻撃とミニオンは、敵に付与された各毒に対してヒットで {0} のダメージを追加で与える（最大 {1}）
"This Attack and Minions deal {0} less Damage with Hits for each Poison on the Enemy, up to {1}",この攻撃とミニオンは、敵に付与された各毒に対してヒットで {0} のダメージを減少させる（最大 {1}）
This Attack and Minions deal {0} more Damage with Poison,この攻撃とミニオンは、毒によるダメージを {0} 増加させる
This Attack and Minions deal {0} less Damage with Poison,この攻撃とミニオンは、毒によるダメージを {0} 減少させる
This Attack and Minions deal {0} more Elemental Damage,この攻撃とミニオンは、元素ダメージを {0} 増加させる
This Attack and Minions deal {0} less Elemental Damage,この攻撃とミニオンは、元素ダメージを {0} 減少させる
This Attack and Minions deal {0} increased Damage over Time,この攻撃とミニオンは、継続ダメージを {0} 増加させる
This Attack and Minions deal {0} reduced Damage over Time,この攻撃とミニオンは、継続ダメージを {0} 減少させる
This Attack and Minions have {0} increased Damage with Poison,この攻撃とミニオンは、毒によるダメージを {0} 増加させる
This Attack and Minions have {0} reduced Damage with Poison,この攻撃とミニオンは、毒によるダメージを {0} 減少させる
This Attack and Minions have {0} increased Poison Duration,この攻撃とミニオンは、毒の持続時間を {0} 増加させる
This Attack and Minions have {0} reduced Poison Duration,この攻撃とミニオンは、毒の持続時間を {0} 減少させる
This Attack and Minions have {0} more Melee Splash Area of Effect,この攻撃とミニオンは、近接スプラッシュの効果範囲を {0} 増加させる
This Attack and Minions have {0} less Melee Splash Area of Effect,この攻撃とミニオンは、近接スプラッシュの効果範囲を {0} 減少させる
"{0} chance to Summon a Phantasm when this Skill, or Non-Phantasm Minions, deal a Killing Blow",このスキルまたは非ファンタズムミニオンがキリングブローを与えたとき、{0} の確率でファンタズムを召喚する
Ruthless Blows from this Attack or Minions deal {0} more Melee Damage,この攻撃またはミニオンの無慈悲な一撃は、近接ダメージを {0} 増加させる
Ruthless Blows from this Attack or Minions deal {0} more Damage with Bleeding caused by Melee Hits,この攻撃またはミニオンの無慈悲な一撃は、近接ヒットによって引き起こされた出血に対して {0} のダメージを増加させる
This Attack and Minion's Attack Skills Leech {0} of Damage as Mana,この攻撃とミニオンの攻撃スキルは、ダメージの {0} をマナとして吸収する
This Attack and Minions' Attacks have {0} chance to Impale Enemies on Hit,この攻撃とミニオンの攻撃は、ヒット時に敵を貫通させる {0} の確率を持つ
This Attack and Minions have {0} chance to Poison on Hit,この攻撃とミニオンは、ヒット時に毒を付与する {0} の確率を持つ
This Attack and Minions have {0} of Chaos Damage Leeched as Life,この攻撃とミニオンは、混沌ダメージの {0} をライフとして吸収する
This Attack and Minions have {0} chance to cause Bleeding,この攻撃とミニオンは、出血を引き起こす {0} の確率を持つ
Projectiles Fired by Minions have {0} chance for an additional Projectile when Forking,ミニオンが発射した投射物は、フォーク時に追加の投射物を得る {0} の確率を持つ
This Attack and Minions Have {0} increased Effect of Cold Ailments,この攻撃とミニオンは、冷気状態異常の効果を {0} 増加させる
This Attack and Minions Have {0} reduced Effect of Cold Ailments,この攻撃とミニオンは、冷気状態異常の効果を {0} 減少させる
This Attack and Minions have {0} increased Critical Strike Chance against Blinded Enemies,この攻撃とミニオンは、盲目の敵に対してクリティカル率を {0} 増加させる
This Attack and Minions have {0} reduced Critical Strike Chance against Blinded Enemies,この攻撃とミニオンは、盲目の敵に対してクリティカル率を {0} 減少させる
"This Attack and Minions deal {0} increased Damage with Hits and Ailments per Freeze, Shock or Ignite on Enemy",この攻撃とミニオンは、敵に凍結、ショック、または点火があるごとにヒットと状態異常で {0} のダメージを増加させる
"This Attack and Minions deal {0} reduced Damage with Hits and Ailments  per Freeze, Shock or Ignite on Enemy",この攻撃とミニオンは、敵に凍結、ショック、または点火があるごとにヒットと状態異常で {0} のダメージを減少させる
This Attack and Minions deal {0} increased Damage while Leeching Energy Shield,この攻撃とミニオンは、エナジーシールドを吸収している間、ダメージを {0} 増加させる
This Attack and Minions deal {0} reduced Damage while Leeching Energy Shield,この攻撃とミニオンは、エナジーシールドを吸収している間、ダメージを {0} 減少させる
This Attack and Minions deal {0} increased Damage while Leeching Life,この攻撃とミニオンは、ライフを吸収している間、ダメージを {0} 増加させる
This Attack and Minions deal {0} reduced Damage while Leeching Life,この攻撃とミニオンは、ライフを吸収している間、ダメージを {0} 減少させる
This Attack and Minions deal {0} increased Damage while Leeching Mana,この攻撃とミニオンは、マナを吸収している間、ダメージを {0} 増加させる
This Attack and Minions deal {0} reduced Damage while Leeching Mana,この攻撃とミニオンは、マナを吸収している間、ダメージを {0} 減少させる
This Attack and Minions deal {0} increased Damage with Hits and Ailments per Curse on Enemy,この攻撃とミニオンは、敵にかけた呪いごとにヒットと状態異常で {0} のダメージを増加させる
This Attack and Minions deal {0} reduced Damage with Hits and Ailments per Curse on Enemy,この攻撃とミニオンは、敵にかけた呪いごとにヒットと状態異常で {0} のダメージを減少させる
This Attack and Minions deal {0} increased Damage with Hits against Enemies that are on Low Life,この攻撃とミニオンは、低ライフの敵に対してヒットで {0} のダメージを増加させる
Damaging Ailments inflicted by this Attack or Minions deal damage {0} faster,この攻撃またはミニオンによって引き起こされたダメージ状態異常は、ダメージを {0} 速く与える
{0} Chance to Summon a Normal Sentinel of Dominance when you Hit a Unique Monster,ユニークモンスターにヒットしたとき、{0} の確率でノーマルセンチネル・オブ・ドミナンスを召喚する
Enemies Shocked by This Attack and Minions take {0} increased Physical Damage,この攻撃とミニオンによってショックを受けた敵は、物理ダメージを {0} 増加させる
Enemies Shocked by This Attack and Minions take {0} reduced Physical Damage,この攻撃とミニオンによってショックを受けた敵は {0} 物理ダメージを軽減される
This Attack and Minions Overwhelm {0} Physical Damage Reduction,この攻撃とミニオンは {0} 物理ダメージ軽減を圧倒する
Enemies Ignited by this Attack or Minions have {0} to Fire Resistance,この攻撃またはミニオンによって点火された敵は {0} 火耐性を持つ
This Attack and Minions' Attacks have {0} increased Impale Effect,この攻撃とミニオンの攻撃は {0} インペイル効果が増加する
This Attack and Minions' Attacks have {0} reduced Impale Effect,この攻撃とミニオンの攻撃は {0} インペイル効果が減少する
Impale Damage dealt to Enemies Impaled by this Skill or Minions Overwhelms {0} Physical Damage Reduction,このスキルまたはミニオンによってインペイルされた敵に与えるインペイルダメージは {0} 物理ダメージ軽減を圧倒する
This Attack and Minions deal {0} more Physical Damage,この攻撃とミニオンは {0} 物理ダメージを追加で与える
This Attack and Minions have {0} chance to Knock Enemies Back with Hits at Close Range,この攻撃とミニオンは近距離でヒット時に敵をノックバックさせる {0} 確率を持つ
This Attack and Minions have {0} increased Effect of Lightning Ailments,この攻撃とミニオンは {0} 雷の状態異常の効果が増加する
This Attack and Minions have {0} reduced Effect of Lightning Ailments,この攻撃とミニオンは {0} 雷の状態異常の効果が減少する
This Attack and Minions Attacks have {0} chance to Maim on Hit,この攻撃とミニオンの攻撃はヒット時に {0} マイムの確率を持つ
This Attack and Minion's Melee Attacks have {0} increased Area of Effect per Repeat,この攻撃とミニオンの近接攻撃は繰り返しごとに {0} 効果範囲が増加する
This Attack and Minion's Melee Attacks have {0} reduced Area of Effect per Repeat,この攻撃とミニオンの近接攻撃は繰り返しごとに {0} 効果範囲が減少する
This Attack's and Minion's Melee Attack's First Repeat deals {0} more Damage,この攻撃とミニオンの近接攻撃の最初の繰り返しは {0} 追加ダメージを与える
This Attack's and Minion's Melee Attack's First Repeat deals {0} less Damage,この攻撃とミニオンの近接攻撃の最初の繰り返しは {0} 減少ダメージを与える
This Attack's and Minion's Melee Attack's Second Repeat deals {0} more Damage,この攻撃とミニオンの近接攻撃の2回目の繰り返しは {0} 追加ダメージを与える
This Attack's and Minion's Melee Attack's Second Repeat deals {0} less Damage,この攻撃とミニオンの近接攻撃の2回目の繰り返しは {0} 減少ダメージを与える
This Attack's and Minion's Melee Attack's Third Repeat deals {0} more Damage,この攻撃とミニオンの近接攻撃の3回目の繰り返しは {0} 追加ダメージを与える
This Attack's and Minion's Melee Attack's Third Repeat deals {0} less Damage,この攻撃とミニオンの近接攻撃の3回目の繰り返しは {0} 減少ダメージを与える
This Attack and Minions Projectiles that have Pierced deal {0} increased Damage,この攻撃とミニオンの貫通した弾丸は {0} 増加ダメージを与える
This Attack and Minions Projectiles that have Pierced deal {0} reduced Damage,この攻撃とミニオンの貫通した弾丸は {0} 減少ダメージを与える
This Attack and Minions Penetrate {0} Chaos Resistance,この攻撃とミニオンは {0} 混沌耐性を貫通する
This Attack and Minions deal {0} less Physical Damage,この攻撃とミニオンは {0} 物理ダメージを減少させる
Enemies Chilled by this Skill or Minions take {0} increased Cold Damage over Time,このスキルまたはミニオンによって冷却された敵は {0} 継続ダメージを受ける
Enemies Chilled by this Skill or Minions take {0} reduced Cold Damage over Time,このスキルまたはミニオンによって冷却された敵は {0} 減少冷却ダメージを受ける
This Attack and Minions deal {0} more Damage while Leeching Energy Shield,この攻撃とミニオンはエナジーシールドをリーク中に {0} 追加ダメージを与える
This Attack and Minions deal {0} less Damage while Leeching Energy Shield,この攻撃とミニオンはエナジーシールドをリーク中に {0} 減少ダメージを与える
This Attack and Minions deal {0} more Cold Damage Over Time,この攻撃とミニオンは {0} 継続冷却ダメージを追加で与える
This Attack and Minions deal {0} less Cold Damage Over Time,この攻撃とミニオンは {0} 減少冷却ダメージを与える
Enemies Maimed by this Attack and Minions take {0} increased Physical Damage,この攻撃とミニオンによってマイムされた敵は {0} 増加物理ダメージを受ける
Enemies Maimed by this Attack and Minions take {0} reduced Physical Damage,この攻撃とミニオンによってマイムされた敵は {0} 減少物理ダメージを受ける
This Attack and Minions deal {0} more Damage per Power Charge,この攻撃とミニオンは {0} パワーチャージごとに追加ダメージを与える
This Attack and Minions deal {0} less Damage per Power Charge,この攻撃とミニオンは {0} パワーチャージごとに減少ダメージを与える
This Attack and Minions deal {0} more Melee Area Damage,この攻撃とミニオンは {0} 近接エリアダメージを追加で与える
This Attack and Minions deal {0} less Melee Area Damage,この攻撃とミニオンは {0} 近接エリアダメージを減少させる
Enemies have {0} chance to Block Attack or Spell Damage from this Skill or Minions,敵はこのスキルまたはミニオンからの攻撃または呪文ダメージをブロックする {0} 確率を持つ
Enemies have {0} chance to Dodge Attack or Spell Hits from this Skill or Minions,敵はこのスキルまたはミニオンからの攻撃または呪文ヒットを回避する {0} 確率を持つ
This Skill and Minions have {0} chance to gain Onslaught for {1} seconds when you Hit a Unique Enemy,このスキルとミニオンはユニークな敵をヒットしたときに {0} 秒間猛攻を得る {1} 確率を持つ
This Attack and Minions have {0} chance to gain Onslaught for {1} seconds on dealing a Killing Blow,この攻撃とミニオンはキリングブローを与えたときに {0} 秒間猛攻を得る {1} 確率を持つ
"This Skill and Minions deal up to {0} more Melee Damage to Enemies, based on proximity",このスキルとミニオンは近接に基づいて敵に最大 {0} 追加近接ダメージを与える
This Attack and Minions have {0} chance to inflict Withered on Hit,この攻撃とミニオンはヒット時に {0} ウィザードを与える確率を持つ
This Spell and Minions have {0} increased Cast Speed,この呪文とミニオンは {0} キャスト速度が増加する
This Spell and Minions have {0} reduced Cast Speed,この呪文とミニオンは {0} キャスト速度が減少する
This Spell and Minions have {0} increased Cast Speed when on Low Life,この呪文とミニオンは低ライフの時に {0} キャスト速度が増加する
This Spell and Minions have {0} reduced Cast Speed when on Low Life,この呪文とミニオンは低ライフの時に {0} キャスト速度が減少する
This Spell and Minions have {0} more Cast Speed,この呪文とミニオンは {0} 追加キャスト速度を持つ
This Spell and Minions have {0} less Cast Speed,この呪文とミニオンは {0} 減少キャスト速度を持つ
This Skill and Minions have {0} chance to throw up to {1} additional Trap or Mine,このスキルとミニオンは最大 {1} 追加のトラップまたはマインを投げる {0} 確率を持つ
This Skill and Minions have {0} chance to throw up to {1} additional Traps or Mines,このスキルとミニオンは最大 {1} 追加のトラップまたはマインを投げる {0} 確率を持つ
Casts Sniper's Mark,スナイパーズマークを発動する
Sacrifices {0} of your Life,あなたのライフの {0} を犠牲にする
Minions Regenerate {0} of Sacrificed Life per second,ミニオンは毎秒 {0} の犠牲にしたライフを再生する
{0} more Life Regeneration granted to Minions per corpse Consumed,消費した死体ごとにミニオンに {0} 追加ライフ再生を付与する
{0} less Life Regeneration granted to Minions per corpse Consumed,消費した死体ごとにミニオンに {0} 減少ライフ再生を付与する
Grants Minions {0} increased Attack Speed,ミニオンに {0} 攻撃速度を増加させる
Grants Minions {0} reduced Attack Speed,ミニオンに {0} 攻撃速度を減少させる
Grants Minions {0} increased Damage,ミニオンに {0} ダメージを増加させる
